TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK,start_year
Bulls,1991-92,82,67,15,0.817,1,1,15,7,LEAGUE CHAMPION,3643,7168,0.508,138,454,0.304,1587,2132,0.744,1173,2439,3612,2279,1693,672,1088,480,9011,5,1991
Bulls,1992-93,82,57,25,0.695,2,1,15,4,LEAGUE CHAMPION,3475,7205,0.482,244,669,0.365,1431,1952,0.733,1290,2283,3573,2133,1804,783,1103,410,8625,15,1992
Bulls,1993-94,82,55,27,0.671,3,2,6,4,N,3245,6815,0.476,233,659,0.354,1310,1859,0.705,1143,2391,3534,2102,1750,740,1306,354,8033,22,1993
Bulls,1994-95,82,47,35,0.573,5,3,5,5,N,3191,6710,0.476,443,1187,0.373,1500,2065,0.726,1106,2294,3400,1970,1962,797,1297,352,8325,12,1994
Bulls,1995-96,82,72,10,0.878,1,1,15,3,LEAGUE CHAMPION,3293,6892,0.478,544,1349,0.403,1495,2004,0.746,1247,2411,3658,2033,1807,745,1175,345,8625,1,1995
Bulls,1996-97,82,69,13,0.841,1,1,15,4,LEAGUE CHAMPION,3277,6923,0.473,523,1403,0.373,1381,1848,0.747,1235,2461,3696,2142,1617,716,1109,332,8458,1,1996
Bulls,1997-98,82,62,20,0.756,1,1,15,6,LEAGUE CHAMPION,3064,6801,0.451,311,962,0.323,1492,2009,0.743,1243,2438,3681,1952,1691,696,1178,353,7931,9,1997
Bulls,1998-99,50,13,37,0.26,15,8,0,0,N,1539,3837,0.401,177,612,0.289,840,1185,0.709,573,1394,1967,1017,1112,436,774,169,4095,29,1998
